dt_s,checkpoint_T,time_s,position_error_km,velocity_error_km_s,energy_error,angular_momentum_error,delta_r_km,delta_theta_rad,e_R_km,e_T_km,fraction_R,fraction_T,dominance_ratio,dominant_mode
30.0,50.0,277680.0,25822.47690576109,5.578980907235803,0.753575079406827,0.9954640179997065,23076.56945872996,-245.8831921675668,13171.764084850933,-22210.469253070627,0.2601908931081101,0.7398091068918896,1.6862182703845463,phase
30.0,100.0,555362.4318623783,32930.88411195755,5.382093176238549,0.8050438164582442,1.2341574564980657,30841.366602619546,-528.5272090673159,21011.730931490303,-25356.464494440705,0.40711479023403746,0.5928852097659627,1.2067765657725487,phase
15.0,1.0,5550.0,5932.931677187319,5.695305607243251,0.15177191165260442,0.08555863027019488,1375.4266758932554,-0.7972758104820263,-1081.5817724026376,-5833.511734433993,0.0332338017661134,0.9667661982338863,5.393500411416297,phase
15.0,5.0,27765.0,13541.94718054925,10.639508042986863,0.3814048317024035,0.27038090329933084,3789.6770990111136,-10.81476052425014,-8678.548382859237,10395.534204991925,0.4107068505824591,0.5892931494175409,1.1978425131009076,phase
15.0,10.0,55530.0,18362.81032248795,12.279014821964022,0.4884001605299933,0.39638688221497903,6083.772801545031,-29.038994130867223,-16059.51756266942,8904.19556130605,0.7648683545355269,0.235131645464473,0.5544497539579882,radial
15.0,20.0,111075.0,22978.328525759116,12.601024067993238,0.5845864119752014,0.5491190579936542,9447.361187273178,-72.35953891551438,-22917.796704557524,1666.7861429371253,0.9947383386366094,0.005261661363390348,0.07272889992106708,radial
15.0,50.0,277680.0,22491.361356791353,7.755996894171567,0.6888265729706301,0.7894679957587203,16272.340729605647,-221.25172909704946,-1510.7361587328799,-22440.566212563896,0.004511757630630157,0.9954882423693697,14.854060441226068,phase
15.0,100.0,555362.4318623783,20598.175168966874,3.8580957715109507,0.7517763071502991,1.0024064803523083,20535.854265246584,-490.2061930360067,20346.752902438686,-3208.499122416359,0.9757368962399477,0.024263103760052557,0.1576909661114428,radial
7.5,1.0,5550.0,3210.4305262109488,3.3011909308844767,0.08822759897624263,0.04724659056057725,699.2623421585531,-0.44375991143311566,-24.97031502040575,-3210.333416795659,6.049527987558905e-05,0.9999395047201245,128.56599583033588,phase
7.5,5.0,27765.0,8765.126966873817,7.433514593526845,0.27273653682488097,0.1724911250752256,2675.403220278279,-7.38007809430535,-2463.8900954472083,-8411.699967484323,0.07901803773965345,0.9209819622603467,3.4139915506083307,phase
7.5,10.0,55537.5,17478.701521918938,13.433667311799486,0.38075212436564615,0.2704066425434607,4243.136937664912,-21.59948161897691,-16964.8141424442,-4207.147252552099,0.9420628546003023,0.057937145399697784,0.24799253426692455,radial
7.5,20.0,111075.0,15171.833800400202,9.440951506326309,0.486961652205745,0.3958068143954271,6710.800697184545,-58.131987457101104,-6947.059483985699,-13487.879944340042,0.20966497268784098,0.7903350273121588,1.9415236008029275,phase
7.5,50.0,277680.0,24234.586241994904,12.420021129405908,0.6114077055294427,0.6035111170526531,10717.949086802877,-191.50973467248986,-24132.38941280182,-2223.274960408485,0.9915838176853488,0.008416182314651223,0.09212825644314673,radial
7.5,100.0,555362.4318623783,26967.083938011136,10.793623985793904,0.6884666354449356,0.7907214279016344,15504.34242662758,-442.05196284833414,-20408.105347562752,-17627.616181506753,0.5727134744323865,0.4272865255676133,0.86375564420594,radial
3.75,1.0,5553.75,1672.9633292675016,1.7867508464231796,0.048235719206473675,0.025025637444736095,354.4119892758081,-0.23569139734630884,157.21927666677013,-1665.5594856138227,0.008831586861205444,0.991168413138795,10.593863048638841,phase
3.75,5.0,27768.75,11314.477022539906,11.036849686003407,0.17802977693759828,0.10294301372820043,1407.9935059408872,-4.576246985505325,-7889.1735903284725,8110.384106517228,0.48617660300372323,0.5138233969962768,1.0280397577332996,phase
3.75,10.0,55537.5,14282.779265972567,12.509209395721102,0.27286644199595095,0.17264863509502565,2606.598216631438,-14.719618372657905,-11940.424755724367,-7837.3490552214525,0.6988984922222689,0.3011015077777313,0.65637104337215,radial
3.75,20.0,111071.25,7338.754657475217,5.123035023806408,0.38012166496611793,0.27009394263930486,4089.6721707754705,-43.25648812454729,1350.5787105666507,7213.408145195884,0.03386842969640548,0.9661315703035948,5.34097575266044,phase
3.75,50.0,277680.0,7321.835548064194,2.352300962618354,0.5191757804979947,0.4420809724768812,7319.233745699762,-157.0995993905062,7316.423742840103,-281.4594253211476,0.9985222816960231,0.0014777183039769329,0.03846953582979465,radial
3.75,100.0,555362.4318623783,10859.659079264893,3.1939855365781735,0.6110448964170407,0.6033265085860688,10594.540133451228,-383.0540790704594,10174.96210791474,3795.041688882962,0.8778760847999031,0.12212391520009683,0.3729784591463917,radial
1.875,1.0,5553.75,853.3673532054086,0.9299396647369803,0.025316354986896206,0.01290361641419219,178.77629613309,-0.12158904627774536,127.41447831665033,-843.8017481802822,0.022292845811428288,0.9777071541885717,6.622495020411,phase
1.875,5.0,27768.75,13900.908111258248,14.425137505204953,0.1061501328499331,0.05769399032653044,817.8690845202673,-2.6261132330658548,-13387.09139932886,-3744.4666086988423,0.9274406173260313,0.0725593826739686,0.2797072565655722,radial
1.875,10.0,55535.625,14896.839111755167,14.488379008116643,0.1779547515696452,0.10292077032219654,1475.3336474545385,-9.155453226068587,-14734.076559967278,-2196.088214653805,0.9782674189525097,0.02173258104749044,0.14904824240024733,radial
1.875,20.0,111073.125,13434.784310077366,11.841430896636854,0.2727447557116483,0.1726025338523865,2507.2937073129533,-29.451050909865714,-10343.354466629962,8573.706773382617,0.5927361563434114,0.4072638436565884,0.8289096927929295,radial
1.875,50.0,277681.875,7209.343599363407,4.407556906881265,0.41513453658221366,0.30758240522607994,4842.398120668328,-119.99179132724382,2738.1462019899395,-6669.122169387076,0.1442519914606042,0.8557480085393956,2.4356340667785785,phase
1.875,100.0,555362.4318623783,7319.219957599451,2.3545404199746054,0.5191936756097105,0.44215059910896826,7317.232548337158,-314.1418162331831,7315.0867801653585,245.93939573016232,0.9988709150834517,0.0011290849165483295,0.03362084458068491,radial
